Customer ID,Full Name,Gender,Age,State,Job Classification,Date Joined,Balance,marital,Education,Houseloan,Otherloan,Contact,Poutcome,Loan default,Customer ID
1,Christy  Olson,Male,21,California,White Collar,05.Jan.2017,"$169,864.42 ",Married,Primary,No,No,Cellular,Unknown,No,A01
2,Dan  Peterson,Female,34,Oregon,Blue Collar,06.Jan.2017,"$55,102.60 ",Married,Secondary,Yes,Yes,Cellular,Failure,No,A02
3,Mable  Lindsey,Male,46,California,White Collar,07.Jan.2017,"$151,546.03 ",Single,Tertiary,Yes,No,Cellular,Failure,No,A03
4,Kyle  Carr,Male,32,Wyoming,White Collar,08.Jan.2017,"$2,120.19 ",Married,Tertiary,Yes,Yes,Unknown,Unknown,No,A04
5,Rachel  Gomez,Female,38,California,Blue Collar,09.Jan.2017,"$53,192.24 ",Married,Secondary,Yes,No,Unknown,Unknown,No,A05
6,Isabel  Cross,Female,30,Wyoming,Blue Collar,09.Jan.2017,"$182,750.42 ",Single,Tertiary,No,No,Cellular,Failure,No,A06
7,Billie  Chandler,Female,34,California,Blue Collar,11.Jan.2017,"$63,998.28 ",Married,Tertiary,Yes,No,Cellular,Other,No,A07
8,Sylvester  Morales,Female,48,Nevada,Other,11.Jan.2017,"$54,745.04 ",Married,Secondary,Yes,No,Cellular,Unknown,No,A08
9,Rachel  Gomez,Female,33,Wyoming,White Collar,11.Jan.2017,"$110,870.69 ",Married,Tertiary,Yes,No,Unknown,Unknown,No,A09
10,Beth  Tucker,Male,42,California,White Collar,12.Jan.2017,"$16,285.76 ",Married,Primary,Yes,Yes,Cellular,Failure,No,A010
11,Shari  Silva,Male,40,California,White Collar,12.Jan.2017,"$59,204.24 ",Married,Secondary,Yes,No,Unknown,Unknown,No,A011
12,Drew  Rogers,Male,39,California,White Collar,12.Jan.2017,"$48,180.04 ",Married,Secondary,Yes,No,Cellular,Unknown,No,A012
13,Arturo  Francis,Male,24,California,White Collar,12.Jan.2017,"$60,866.63 ",Married,Tertiary,No,No,Cellular,Unknown,No,A013
14,Mable  Lindsey,Male,46,California,Other,12.Jan.2017,"$72,821.60 ",Single,Secondary,No,No,Cellular,Unknown,Yes,A014
15,Shari  Silva,Female,36,California,Other,12.Jan.2017,"$4,246.33 ",Married,Secondary,Yes,Yes,Cellular,Failure,No,A015
16,Rachel  Gomez,Male,42,California,White Collar,14.Jan.2017,"$3,158.00 ",Married,Tertiary,No,Yes,Cellular,Unknown,No,A016
17,Jenny  Garcia,Female,31,California,Other,14.Jan.2017,"$15,455.70 ",Married,Secondary,No,No,Cellular,Unknown,No,A017
18,Colleen  Warren,Female,42,California,Other,14.Jan.2017,"$5,672.69 ",Single,Tertiary,Yes,No,Cellular,Failure,No,A018
19,Pauline  Beck,Male,40,California,Blue Collar,15.Jan.2017,"$97,811.49 ",Single,Primary,Yes,No,Unknown,Unknown,No,A019
20,Shari  Silva,Female,46,California,Blue Collar,15.Jan.2017,"$17,106.94 ",Married,Secondary,No,No,Cellular,Other,No,A020
21,Jenny  Garcia,Male,37,California,Other,16.Jan.2017,"$47,429.72 ",divorced,Unknown,Yes,No,Cellular,Unknown,No,A021
22,Ben  Perez,Male,58,California,Blue Collar,18.Jan.2017,"$31,719.37 ",divorced,Tertiary,No,No,Cellular,Unknown,No,A022
23,Cassandra  Franklin,Female,41,California,White Collar,18.Jan.2017,"$99,678.79 ",Single,Secondary,No,No,Unknown,Unknown,No,A023
24,Elaine  Ellis,Male,52,California,Blue Collar,19.Jan.2017,"$9,820.63 ",Married,Secondary,No,No,Cellular,Unknown,No,A024
25,Beth  Tucker,Female,38,California,White Collar,20.Jan.2017,"$30,603.48 ",Married,Tertiary,No,No,Cellular,Unknown,No,A025
26,Cassandra  Franklin,Male,55,California,Blue Collar,21.Jan.2017,"$64,549.66 ",Married,Tertiary,No,No,Cellular,Unknown,No,A026
27,Colleen  Warren,Female,37,California,White Collar,23.Jan.2017,"$5,919.72 ",Married,Primary,Yes,No,Unknown,Unknown,No,A027
28,Cassandra  Franklin,Female,33,California,White Collar,25.Jan.2017,"$5,115.78 ",Married,Unknown,No,No,Telephone,Failure,No,A028
29,Cassandra  Franklin,Male,50,California,Blue Collar,25.Jan.2017,"$30,619.57 ",Married,Secondary,No,Yes,Cellular,Unknown,No,A029
30,Nellie  Joseph,Male,42,California,White Collar,27.Jan.2017,"$16,138.57 ",Married,Secondary,No,Yes,Cellular,Unknown,No,A030
31,Guillermo  Potter,Female,25,California,White Collar,28.Jan.2017,"$58,042.94 ",divorced,Secondary,No,No,Telephone,Unknown,Yes,A031
32,Lynette  Brewer,Male,30,California,White Collar,28.Jan.2017,"$21,034.36 ",Married,Secondary,No,No,Cellular,Unknown,No,A032
33,Rachel  Gomez,Female,58,California,Other,29.Jan.2017,"$38,603.30 ",Married,Secondary,No,No,Cellular,Unknown,No,A033
34,Lance  Yates,Male,26,California,Other,30.Jan.2017,"$8,705.42 ",Single,Tertiary,Yes,No,Cellular,Unknown,Yes,A034
35,Arturo  Francis,Female,34,California,Blue Collar,31.Jan.2017,"$116,132.24 ",Married,Tertiary,No,No,Cellular,Unknown,Yes,A035
36,Lula  Daniels,Female,36,California,White Collar,31.Jan.2017,"$47,283.10 ",divorced,Secondary,Yes,No,Unknown,Unknown,No,A036
37,Bethany  Pena,Female,33,California,White Collar,31.Jan.2017,"$30,602.06 ",divorced,Primary,No,No,Telephone,Unknown,Yes,A037
38,Robert  Munoz,Male,31,California,Other,31.Jan.2017,"$8,488.61 ",Married,Secondary,Yes,No,Cellular,Unknown,Yes,A038
39,Shari  Silva,Male,35,California,Blue Collar,31.Jan.2017,"$19,175.52 ",Married,Secondary,Yes,No,Cellular,Failure,Yes,A039
40,Cindy  Becker,Male,59,California,Other,31.Jan.2017,"$170,828.72 ",Single,Tertiary,Yes,No,Unknown,Unknown,No,A040
41,Guillermo  Potter,Male,27,California,Blue Collar,01.Feb.2017,"$76,733.75 ",Single,Tertiary,Yes,No,Unknown,Failure,No,A041
42,Sandra  Floyd,Female,35,California,White Collar,01.Feb.2017,"$14,469.72 ",Single,Tertiary,No,No,Cellular,Unknown,No,A042
43,Billie  Chandler,Male,49,California,Blue Collar,01.Feb.2017,"$170,179.43 ",Married,Secondary,Yes,No,Cellular,Unknown,No,A043
44,Isabel  Cross,Female,22,California,Other,01.Feb.2017,"$160,786.69 ",Married,Tertiary,Yes,No,Cellular,Unknown,No,A044
45,Bernadette  Page,Female,53,California,Other,03.Feb.2017,"$4,316.72 ",Single,Tertiary,Yes,No,Cellular,Unknown,No,A045
46,Andrew  Meyer,Female,47,California,Other,03.Feb.2017,"$81,475.55 ",Single,Tertiary,Yes,No,Unknown,Unknown,No,A046
47,Lee  Mack,Female,32,California,Other,03.Feb.2017,"$88,806.93 ",Married,Primary,No,No,Telephone,Other,No,A047
48,Bobbie  Ryan,Female,19,California,Other,08.Feb.2017,"$21,398.25 ",Married,Primary,Yes,No,Unknown,Unknown,No,A048
49,Trevor  Jones,Male,27,California,White Collar,12.Feb.2017,"$35,702.84 ",Single,Primary,Yes,Yes,Cellular,Unknown,No,A049
50,Eric  Rose,Male,39,California,White Collar,12.Feb.2017,"$58,258.43 ",Married,Unknown,Yes,No,Cellular,Success,Yes,A050
51,Donna  Reid,Female,29,California,Blue Collar,12.Feb.2017,"$2,090.21 ",divorced,Primary,No,No,Unknown,Unknown,Yes,A051
52,Ivan  Adkins,Female,31,California,Blue Collar,12.Feb.2017,"$62,127.25 ",Single,Secondary,Yes,No,Cellular,Unknown,No,A052
53,Billie  Chandler,Female,37,California,Other,12.Feb.2017,"$70,971.21 ",Single,Secondary,No,No,Cellular,Unknown,No,A053
54,Jenny  Garcia,Female,32,California,White Collar,12.Feb.2017,"$36,099.99 ",Married,Tertiary,Yes,No,Cellular,Other,Yes,A054
55,Andrew  Meyer,Male,24,California,White Collar,12.Feb.2017,"$7,330.18 ",Married,Secondary,Yes,No,Cellular,Unknown,No,A055
56,Brooke  Horton,Male,40,California,White Collar,12.Feb.2017,"$87,149.94 ",Married,Secondary,Yes,No,Telephone,Unknown,No,A056
57,Max  Rodgers,Female,33,California,Blue Collar,12.Feb.2017,"$86,616.27 ",Married,Secondary,No,Yes,Telephone,Unknown,No,A057
58,Eric  Rose,Male,44,California,White Collar,12.Feb.2017,"$53,477.93 ",Single,Tertiary,No,No,Cellular,Unknown,No,A058
59,Rachel  Gomez,Male,39,California,Other,12.Feb.2017,"$2,804.27 ",Single,Secondary,Yes,Yes,Unknown,Unknown,No,A059
60,Max  Rodgers,Male,47,California,White Collar,12.Feb.2017,"$34,887.43 ",divorced,Secondary,Yes,Yes,Unknown,Unknown,No,A060
61,Robert  Munoz,Female,35,California,White Collar,12.Feb.2017,"$6,843.64 ",Married,Primary,No,Yes,Telephone,Unknown,No,A061
62,Don  Gonzales,Female,47,California,Other,12.Feb.2017,"$30,351.96 ",Married,Secondary,Yes,No,Cellular,Unknown,No,A062
63,Cecilia  Manning,Male,47,California,White Collar,12.Feb.2017,"$33,453.64 ",Married,Tertiary,No,No,Cellular,Unknown,No,A063
64,Cindy  Becker,Female,39,California,White Collar,12.Feb.2017,"$60,155.60 ",Married,Secondary,No,No,Cellular,Unknown,No,A064
65,Brooke  Horton,Female,50,California,Other,12.Feb.2017,"$27,000.55 ",Married,Secondary,No,No,Cellular,Unknown,No,A065
66,Ivan  Adkins,Male,43,California,Blue Collar,12.Feb.2017,"$29,963.90 ",divorced,Secondary,Yes,No,Cellular,Failure,No,A066
67,Christina  Fuller,Male,47,California,Blue Collar,12.Feb.2017,"$7,909.67 ",Married,Secondary,Yes,No,Cellular,Unknown,No,A067
68,Peter  Hodges,Male,61,California,Blue Collar,12.Feb.2017,"$10,688.72 ",Married,Secondary,Yes,No,Cellular,Unknown,No,A068
69,Ben  Perez,Male,53,California,Blue Collar,12.Feb.2017,"$53,358.78 ",Married,Secondary,No,Yes,Cellular,Unknown,No,A069
70,Andrew  Meyer,Male,45,California,Other,12.Feb.2017,"$22,407.12 ",Single,Tertiary,No,No,Cellular,Unknown,No,A070
71,Peter  Hodges,Male,49,California,Blue Collar,12.Feb.2017,"$104,537.99 ",Married,Tertiary,No,No,Cellular,Success,Yes,A071
72,Billie  Chandler,Female,51,California,Other,12.Feb.2017,"$53,636.40 ",divorced,Tertiary,Yes,No,Unknown,Unknown,No,A072
73,Robert  Munoz,Female,36,California,White Collar,12.Feb.2017,"$61,852.40 ",Single,Tertiary,Yes,No,Unknown,Unknown,No,A073
74,Salvador  Bass,Male,45,California,Other,12.Feb.2017,"$54,770.04 ",Married,Tertiary,Yes,No,Unknown,Unknown,No,A074
75,Salvador  Bass,Female,30,California,White Collar,12.Feb.2017,$29.91 ,Married,Secondary,Yes,No,Unknown,Unknown,No,A075
76,Bobbie  Ryan,Male,44,California,Blue Collar,24.Feb.2017,"$86,920.39 ",divorced,Tertiary,No,No,Cellular,Unknown,No,A076
77,Andrew  Meyer,Male,38,California,White Collar,09.Mar.2017,"$42,549.96 ",divorced,Secondary,Yes,No,Cellular,Other,No,A077
78,Drew  Rogers,Female,36,California,Other,10.Mar.2017,"$57,782.78 ",Single,Secondary,No,Yes,Cellular,Unknown,No,A078
79,Isabel  Cross,Female,23,California,Blue Collar,15.Mar.2017,"$10,999.30 ",divorced,Primary,No,No,Cellular,Unknown,No,A079
80,Della  Jensen,Male,34,California,White Collar,16.Mar.2017,$364.88 ,Married,Secondary,Yes,No,Cellular,Failure,No,A080
81,Lorraine  Gibson,Female,36,California,White Collar,16.Mar.2017,"$89,454.87 ",divorced,Secondary,Yes,No,Cellular,Unknown,Yes,A081
82,Shari  Silva,Male,20,California,White Collar,16.Mar.2017,"$17,348.31 ",Married,Primary,No,No,Cellular,Unknown,No,A082
83,Drew  Rogers,Male,31,California,Blue Collar,16.Mar.2017,"$13,948.76 ",Single,Secondary,Yes,Yes,Cellular,Unknown,No,A083
84,Iris  Underwood,Male,42,California,White Collar,16.Mar.2017,"$65,327.43 ",Married,Secondary,No,No,Telephone,Failure,Yes,A084
85,Drew  Rogers,Female,38,California,White Collar,16.Mar.2017,"$94,986.87 ",Married,Tertiary,No,No,Cellular,Unknown,Yes,A085
86,Jenny  Garcia,Male,39,California,White Collar,16.Mar.2017,"$34,074.76 ",Married,Primary,Yes,No,Unknown,Unknown,No,A086
87,Lorraine  Gibson,Male,41,California,Other,16.Mar.2017,"$7,232.21 ",Single,Secondary,No,Yes,Cellular,Unknown,No,A087
88,Elaine  Ellis,Female,24,California,White Collar,16.Mar.2017,"$106,821.69 ",Single,Primary,Yes,No,Unknown,Unknown,No,A088
89,Eric  Rose,Female,24,California,White Collar,16.Mar.2017,"$63,296.87 ",Married,Secondary,Yes,No,Cellular,Unknown,No,A089
90,Isabel  Cross,Female,35,California,White Collar,16.Mar.2017,"$6,259.07 ",Married,Secondary,Yes,No,Unknown,Unknown,No,A090
91,Billie  Chandler,Male,35,California,White Collar,16.Mar.2017,"$112,854.76 ",Married,Primary,No,No,Cellular,Unknown,No,A091
92,Woodrow  Colon,Female,26,California,White Collar,16.Mar.2017,"$42,665.81 ",Married,Primary,Yes,No,Unknown,Unknown,No,A092
93,Edwin  Malone,Male,23,California,White Collar,16.Mar.2017,"$21,937.40 ",Single,Secondary,Yes,No,Cellular,Unknown,Yes,A093
94,Paulette  Spencer,Female,38,California,Other,16.Mar.2017,"$65,721.30 ",Single,Tertiary,No,No,Cellular,Unknown,No,A094
95,Cassandra  Franklin,Female,30,California,White Collar,16.Mar.2017,"$82,157.25 ",Married,Secondary,No,No,Cellular,Unknown,No,A095
96,Allan  Ramos,Male,28,California,White Collar,16.Mar.2017,"$100,713.46 ",Single,Tertiary,No,No,Cellular,Unknown,No,A096
97,Eric  Rose,Female,38,California,Blue Collar,16.Mar.2017,"$92,372.93 ",Married,Tertiary,Yes,No,Unknown,Unknown,No,A097
98,Cassandra  Franklin,Female,36,California,White Collar,16.Mar.2017,"$2,133.75 ",Single,Tertiary,No,No,Cellular,Failure,No,A098
99,Della  Jensen,Male,40,California,Blue Collar,16.Mar.2017,"$8,143.09 ",divorced,Secondary,No,No,Cellular,Success,No,A099
100,Shari  Silva,Female,56,California,Other,16.Mar.2017,"$19,776.54 ",Single,Primary,No,No,Cellular,Unknown,Yes,A0100
101,Austin  Reynolds,Male,51,California,Blue Collar,16.Mar.2017,"$177,632.66 ",Married,Secondary,Yes,No,Unknown,Unknown,No,A0101
102,Dan  Peterson,Female,44,California,White Collar,16.Mar.2017,"$28,102.69 ",Single,Tertiary,Yes,No,Cellular,Failure,No,A0102
103,Elbert  Klein,Female,55,California,White Collar,16.Mar.2017,"$53,638.88 ",Married,Secondary,No,No,Telephone,Unknown,No,A0103
104,Nellie  Joseph,Female,57,California,Other,16.Mar.2017,"$33,858.22 ",Single,Primary,Yes,No,Telephone,Unknown,No,A0104
105,Robert  Munoz,Male,48,California,White Collar,16.Mar.2017,"$127,025.51 ",Single,Secondary,No,No,Unknown,Unknown,No,A0105
106,Herman  Williams,Female,54,California,Other,16.Mar.2017,"$67,122.45 ",Single,Tertiary,Yes,No,Cellular,Failure,No,A0106
107,Cassandra  Franklin,Male,36,California,Blue Collar,16.Mar.2017,"$18,829.03 ",Married,Secondary,Yes,Yes,Unknown,Unknown,No,A0107
108,Woodrow  Colon,Male,48,California,Blue Collar,16.Mar.2017,"$35,686.39 ",Married,Tertiary,Yes,No,Cellular,Unknown,No,A0108
109,Willie  Vega,Male,63,California,Other,16.Mar.2017,"$109,642.87 ",Married,Primary,No,No,Cellular,Unknown,Yes,A0109
110,Cassandra  Franklin,Male,63,California,Blue Collar,16.Mar.2017,"$39,512.30 ",Married,Primary,Yes,No,Cellular,Unknown,No,A0110
111,Lorraine  Gibson,Female,25,California,Other,16.Mar.2017,"$105,669.63 ",Single,Secondary,No,No,Cellular,Success,Yes,A0111
112,Christina  Fuller,Male,26,California,White Collar,16.Mar.2017,"$30,786.06 ",Married,Tertiary,Yes,No,Telephone,Unknown,No,A0112
113,Ivan  Adkins,Male,29,California,White Collar,16.Mar.2017,"$122,729.15 ",Married,Secondary,Yes,Yes,Cellular,Unknown,No,A0113
114,Brooke  Horton,Female,18,California,Other,16.Mar.2017,"$76,373.58 ",Single,Secondary,No,No,Cellular,Failure,No,A0114
115,Robert  Munoz,Female,43,California,Blue Collar,16.Mar.2017,"$56,549.84 ",Single,Secondary,No,No,Telephone,Unknown,Yes,A0115
